numero_radicado;fecha_asignacion;cod_dependencia;nombre_dependencia;nro_noticia_orfeo
20250190000015;2/01/2025;19;DIRECCION SECCIONAL CESAR;
20250040000015;2/01/2025;4;DIRECCION SECCIONAL CORDOBA;
20250200000012;2/01/2025;20;DIRECCION SECCIONAL HUILA;
20259240000015;2/01/2025;924;MESA DE CREACIÓN DE NOTICIAS CRIMINALES - BOLIVAR;130016001128202510303
20250020000012;2/01/2025;2;DIRECCIÓN SECCIONAL META;
20250060000015;2/01/2025;6;SECCIONAL CALI;
20258870000015;2/01/2025;887;DIRECCION SECCIONAL NORTE DE SANTANDER;
20250040000025;2/01/2025;4;DIRECCION SECCIONAL CORDOBA;
20256110000012;2/01/2025;611;SUBDIRECCION DE GESTION DOCUMENTAL;110016000052202516209
20250230000015;2/01/2025;23;DIRECCION SECCIONAL MAGDALENA;
20250140000012;2/01/2025;14;DIRECCION SECCIONAL TOLIMA;
20250060000011;2/01/2025;6;SECCIONAL CALI;
20250140000022;2/01/2025;14;DIRECCION SECCIONAL TOLIMA;
20250140000032;2/01/2025;14;DIRECCION SECCIONAL TOLIMA;
20250140000042;2/01/2025;14;DIRECCION SECCIONAL TOLIMA;
20250140000052;2/01/2025;14;DIRECCION SECCIONAL TOLIMA;
20258870000025;2/01/2025;887;DIRECCION SECCIONAL NORTE DE SANTANDER;
20250060000025;2/01/2025;6;SECCIONAL CALI;
20250060000012;2/01/2025;6;SECCIONAL CALI;
20250090000012;2/01/2025;9;DIRECCIÓN SECCIONAL SANTANDER;680016000160202512155
20250060000021;2/01/2025;6;SECCIONAL CALI;
20250180000012;2/01/2025;18;DIRECCION SECCIONAL SUCRE;700016001037202510019
20250060000031;2/01/2025;6;SECCIONAL CALI;
20250180000022;2/01/2025;18;DIRECCION SECCIONAL SUCRE;
20250250000015;2/01/2025;25;DIRECCION SECCIONAL BOYACA;
20250060000035;2/01/2025;6;SECCIONAL CALI;
20250370000022;2/01/2025;71;MESA DE CREACIÓN DE NOTICIAS CRIMINALES - MEDELLIN;050016000248202510638
20250230000025;2/01/2025;23;DIRECCION SECCIONAL MAGDALENA;
20250200000022;2/01/2025;20;DIRECCION SECCIONAL HUILA;
20256110000011;2/01/2025;611;SUBDIRECCION DE GESTION DOCUMENTAL;
20250060000041;2/01/2025;6;SECCIONAL CALI;
20250250000025;2/01/2025;25;DIRECCION SECCIONAL BOYACA;
20250140000062;2/01/2025;14;DIRECCION SECCIONAL TOLIMA;
20250240000015;2/01/2025;24;DIRECCION SECCIONAL NARIÑO;
20250060000022;2/01/2025;6;SECCIONAL CALI;
20250060000032;2/01/2025;6;SECCIONAL CALI;
20250140000072;2/01/2025;14;DIRECCION SECCIONAL TOLIMA;
20250060000042;2/01/2025;6;SECCIONAL CALI;
20250060000051;2/01/2025;6;SECCIONAL CALI;
20258870000035;2/01/2025;887;DIRECCION SECCIONAL NORTE DE SANTANDER;
20250240000012;2/01/2025;24;DIRECCION SECCIONAL NARIÑO;
20250090000011;2/01/2025;9;DIRECCIÓN SECCIONAL SANTANDER;
20250100000012;2/01/2025;10;DIRECCION SECCIONAL CAUCA;
20250230000035;2/01/2025;23;DIRECCION SECCIONAL MAGDALENA;
20250060000045;2/01/2025;6;SECCIONAL CALI;
20250060000061;2/01/2025;6;SECCIONAL CALI;
20250100000011;2/01/2025;10;DIRECCION SECCIONAL CAUCA;
20250230000012;2/01/2025;23;DIRECCION SECCIONAL MAGDALENA;
20250250000035;2/01/2025;25;DIRECCION SECCIONAL BOYACA;157596099164202510007
20250090000021;2/01/2025;9;DIRECCIÓN SECCIONAL SANTANDER;
20250090000031;2/01/2025;9;DIRECCIÓN SECCIONAL SANTANDER;
20253160000015;2/01/2025;205;MESA DE CREACIÓN DE NOTICIAS CRIMINALES - CALDAS;
20250060000071;2/01/2025;6;SECCIONAL CALI;
20258870000011;2/01/2025;887;DIRECCION SECCIONAL NORTE DE SANTANDER;
20250090000041;2/01/2025;9;DIRECCIÓN SECCIONAL SANTANDER;
20258870000021;2/01/2025;887;DIRECCION SECCIONAL NORTE DE SANTANDER;
20250240000022;2/01/2025;24;DIRECCION SECCIONAL NARIÑO;520016099032202510350
20256110000021;2/01/2025;611;SUBDIRECCION DE GESTION DOCUMENTAL;
20250020000022;2/01/2025;2;DIRECCIÓN SECCIONAL META;
20258870000031;2/01/2025;887;DIRECCION SECCIONAL NORTE DE SANTANDER;
20250100000021;2/01/2025;10;DIRECCION SECCIONAL CAUCA;
20258870000041;2/01/2025;887;DIRECCION SECCIONAL NORTE DE SANTANDER;
20250090000051;2/01/2025;9;DIRECCIÓN SECCIONAL SANTANDER;
20250250000045;2/01/2025;25;DIRECCION SECCIONAL BOYACA;157596099164202510009
20258870000051;2/01/2025;887;DIRECCION SECCIONAL NORTE DE SANTANDER;
20258870000061;2/01/2025;887;DIRECCION SECCIONAL NORTE DE SANTANDER;
20250090000061;2/01/2025;9;DIRECCIÓN SECCIONAL SANTANDER;
20258870000071;2/01/2025;887;DIRECCION SECCIONAL NORTE DE SANTANDER;
20256110000031;2/01/2025;611;SUBDIRECCION DE GESTION DOCUMENTAL;
20250100000022;2/01/2025;10;DIRECCION SECCIONAL CAUCA;
20258870000081;2/01/2025;887;DIRECCION SECCIONAL NORTE DE SANTANDER;
20258870000045;2/01/2025;887;DIRECCION SECCIONAL NORTE DE SANTANDER;
20250060000055;2/01/2025;6;SECCIONAL CALI;
20258870000091;2/01/2025;887;DIRECCION SECCIONAL NORTE DE SANTANDER;
20257640000015;2/01/2025;764;DIRECCION SECCIONAL PUTUMAYO;
20250090000071;2/01/2025;9;DIRECCIÓN SECCIONAL SANTANDER;
20250100000032;2/01/2025;10;DIRECCION SECCIONAL CAUCA;
20257170000015;2/01/2025;717;PALOQUEMAO-SUBDIRECCION DE GESTION DOCUMENTAL;
20258870000101;2/01/2025;887;DIRECCION SECCIONAL NORTE DE SANTANDER;
20250060000052;2/01/2025;6;SECCIONAL CALI;
20250060000081;2/01/2025;6;SECCIONAL CALI;
20258870000111;2/01/2025;887;DIRECCION SECCIONAL NORTE DE SANTANDER;
20253160000025;2/01/2025;205;MESA DE CREACIÓN DE NOTICIAS CRIMINALES - CALDAS;
20250060000062;2/01/2025;6;SECCIONAL CALI;
20256110000041;2/01/2025;611;SUBDIRECCION DE GESTION DOCUMENTAL;
20250020000015;2/01/2025;2;DIRECCIÓN SECCIONAL META;
20250100000031;2/01/2025;10;DIRECCION SECCIONAL CAUCA;
20258870000121;2/01/2025;887;DIRECCION SECCIONAL NORTE DE SANTANDER;
